,caption,proposed,Sem+Sem,word+traditional
0,a large brown bear walking through a forest.jpg,30273,59858,128916
1,a man riding on the back of a brown horse.jpg,30257,59858,128900
2,a_blue_and_yellow_train_traveling_down_train_tracks.png,30337,59858,128980
3,a_brown_and_white_dog_standing_next_to_a_brown_and_white_dog.png,30409,59858,129052
4,a_man_and_a_woman_standing_next_to_each_other_on_a_beach.png,30377,59858,129020
5,a_man_standing_on_a_beach_holding_a_surfboard.png,30289,59858,128932
6,a_person_riding_skis_on_top_of_a_snow_covered_slope.png,30337,59858,128980
7,a_public_transit_bus_on_a_city_street.png,30225,59858,128868
8,a_young_boy_is_flying_a_kite_in_a_field.png,30241,59858,128884
9,a_young_man_holding_a_tennis_racket_in_his_hand.png,30305,59858,128948
